id,gender,party,name,name_dari,ballotNumber,incumbent,electedPreliminary,electedFinal
1095147,M,independent,Alhaj Rahem Jan Sherzad Fe Sabilullah,الحاج رحیم جان شیرزاد فی سبیل الله,77,False,85,86
1098045,M,independent,Ashuqullah,عاشق الله,43,False,4291,4333
1098075,M,independent, Gull Muhammad,گل محمد,152,False,1264,1265
1124252,F,independent,Eng. Nafisa Azimi,انجنیر نفیسه عظیمی,15,False,6240,6228
1124743,M,independent, Muhammad Asif Amini,محمد آصف امینی,74,False,722,722
1132221,M,independent,Dr. Mirwais Momand,ډاکټر میرویس مومند,32,False,2014,2078
1136901,M,independent,Hajji Sakhi ,حاجی سخی,26,False,7788,6827
1137454,M,independent, Alhaj Muhammad Roze,الحاج محمد روزی,22,False,4214,3920
1141968,M,independent,Hajji Pacha Sangar Mal,حاجی پاچا سنګر مل,19,False,3899,3783
1145213,F,independent, Rana Qadiri,رڼا قادری,41,False,597,619
1145253,F,independent,Safoora Yalkhani,صفورا ایلخانی,2,True,5603,5603
1146752,M,independent,Ustad Ghulam Ali Amin,استاد غلام علی امین,1,False,414,414
1151503,M,independent,Muhammad Rahim Ali Yar Zada,محمد رحیم  علی یار زاده,12,False,8623,8623
1160518,F,independent,Zarkai Kazemi,زرکی کاظمی,8,False,2117,2117
1226023,M,independent,Abdul Hamid Habibi,عبدالحمید حبیبی,19,False,309,309
1228811,M,independent,Hajji Abdul Kabir,حاجی عبدالکبیر,39,False,7255,7255
1243575,M,independent,Eng. Muhammad Khan,انجینر محمد خان,168,False,1331,1270
1275334,M,independent,Malik Asmatullah Shenwari,ملک عصمت الله شینواری,19,False,1774,1779
1283703,M,independent, Sharifullah Sharifi,شریف الله شریفی,36,False,211,228
1285396,M,independent, Ustad Rohullah Lal Porwal,استاد روح الله لعل پوروال,156,False,2242,2246
1304417,M,independent, Mustufi Zulmai,مستوفی زلمی,18,False,1305,1305
1307463,M,independent,Dr. Zabihullah Hakemi,داکتر ذبیح الله   حکیمی,36,False,1117,1115
1323209,M,independent,Dr. Muhammad Nawaz Haqiqat Sanin,ډاکټر محمد نواز حقیقت سانین,17,False,1107,1106
1324605,M,independent,Farydoon Momand,فریدون مومند,121,True,7486,7554
1326136,M,independent,Mia Khan Agha,میا خان اغا,133,False,834,834
1329001,F,independent,Najeba Sapai,نجیبه  ساپۍ,9,False,791,794
1334964,M,independent, Shekh Muqadas Bilal,شیخ مقدس بلال,140,False,1985,1987
1335057,F,independent, Dr. Maliha Obaidi,داکتر ملیحه عبیدی,158,False,97,97
1344418,F,independent,Sajida Hashimi,ساجده هاشمی,11,False,221,224
1347143,M,independent, Alhaj Ustad Laal Pacha Azmon,الحاج استاد لعل پاچا ازمون,85,False,2054,2121
1347387,M,independent,Eng. Anar Gull Faqiri,انجینر انار گل فقیری,55,False,1823,1834
1347412,M,independent,Dr. Tajwar Khan Nasiri,,143,False,19,
1347420,M,independent, Hajji Sahar Gull,حاجی سهار گل,21,False,1396,1417
1347516,M,independent,Hajji Hazrat Ali,حاجی حضرت علی,65,True,13405,13458
1347724,M,independent, Khaibar,خیبر,89,False,42,41
1352028,M,independent, Qazi Muhammad Aman Mubariz,قاضی محمد امان مبارز,25,False,2257,2257
1360512,F,independent, Gulalay Nasiri,گلالۍ ناصری,99,False,601,643
1366023,F,independent,Sefora Kohestani,صیفوره کوهستانی,8,False,1218,1218
1372347,F,independent,Shafiqa Safi,شفیقه صافی,11,False,380,380
1373372,M,independent,Qari Omid Safi,قاری امید  صافی,24,False,338,338
1383203,F,independent, Tahira Mirzada,طاهره  میرزاده,18,True,1275,1275
1383796,M,independent, Sher Bahadur Hemat,شیربهادر همت,95,False,3978,4053
1388140,F,independent, Azima Tasleem Kohistani,عظیمه تسلیم کوهستانی,38,False,188,188
