Long,Lat,ps_male,pc_name,PC-number,province,ps_total,district,ps_female,pc_location,iec_prov_id,map_accuracy,iec_district_id
67.04354691000002,36.695725060000036,2,Abu Zayed School,2103059,Balkh,4,Dehdadi,2,Sher Abad Sufla,21,Building,3
67.29299942000004,36.54025151999999,2,Parwaz School,2105074,Balkh,3,Marmul,1,Parwaz Ulya Village,21,Building,5
67.31952381000006,36.53868166000005,1,Mula Afghan Mosque,2105075,Balkh,2,Marmul,1,Mula Afghan Village,21,Building,5
66.92215130000004,36.77539075000002,2,Baha'Uddin School,2106169,Balkh,3,Balkh,1,Baha'Uddin Village,21,Building,6
66.82178848000005,36.816503090000005,1,Salarzai School,2106170,Balkh,2,Balkh,1,Salarzai Village,21,Building,6
66.87777615000003,36.37830298000006,2,Bibi Fatima School,2107252,Balkh,3,Sholgara,1,Haji Nazar Village,21,Building,7
66.89122417000003,36.23951410000005,1,Qazal Kant School,2107253,Balkh,2,Sholgara,1,Qazal Kant Village,21,Building,7
66.75530152000003,36.67499043000002,2,Bay Taimoor Clinic,2108212,Balkh,3,Chimtal,1,Bai Taimoor Village,21,Building,8
66.53719788000005,36.73173895000008,1,Nawshahr Baloch Village Mosque,2108234,Balkh,2,Chimtal,1,Nawshahr Baloch,21,Village,8
66.72418529000002,36.54928886000005,1,Qadeem Private House,2108235,Balkh,2,Chimtal,1,Sad Mesh Village,21,Village,8
67.00150430000006,36.93966012000001,1,Shakh Moghelan School,2109135,Balkh,2,Dawlat Abad,1,Shakh Moghelan Village,21,Building,9
66.91691244000002,36.961109820000026,1,Shengal Abad School,2109136,Balkh,2,Dawlat Abad,1,Shengal Abad Village,21,Building,9
67.88820316000003,36.70215524000001,2,Yangee Areeq School,2110085,Balkh,3,Khulm,1,Yangee Areeq Village,21,Building,10
67.69836277000005,36.77376408000002,2,Deh Hassan School,2110086,Balkh,3,Khulm,1,Deh Hassan Village,21,Building,10
66.74346110000003,36.84257631,1,Shekh Tash Taimur School,2111186,Balkh,2,Char Bolak,1,Shekh Tash Taimor Village,21,Building,11
66.61080856000005,36.730059050000065,1,Zegzag School,2111187,Balkh,2,Char Bolak,1,Zegzag Village,21,Building,11
66.61225679000003,36.741095000000016,1,Ainuddin Private House,2111209,Balkh,2,Char Bolak,1,Nawarad Zagzag Village,21,Building,11
66.72251304000007,36.75594129000005,1,Sardar Mohammad Private House,2111210,Balkh,2,Char Bolak,1,Shenkai Village,21,Building,11
