id,name,distId,provId,estimatedVoters,psTotal,psFemale,psMale,psKuchi
1402032,"Shalkhzar School, Shalkhzar",1526,15,1500,3,1,2,0
1402024,Arwesha School / Arwesha Mosque,1526,15,2100,4,2,2,0
1425256,"Hoshnaam School / Sanawari School, Sanawari",1527,15,2000,4,2,2,0
1425253,Charmaghistan School / Wani School,1527,15,3000,5,2,3,0
1425259,"Qalat School / Larki School, Larki",1527,15,2000,4,2,2,0
1425258,"Gawhar School, Gawhar",1527,15,1800,3,1,2,0
1425255,"Mula Qurban Mosque / Sar Awash Mosque, Sar Awash",1527,15,900,2,1,1,0
1425254,"Gharmi School, Gharmi",1527,15,3200,6,3,3,0
1425260,"School, Aab Ashnaam",1527,15,2000,4,2,2,0
1425257,"Nasir Khisraw School, Hazrat Saed",1527,15,2800,5,2,3,0
1411127,"Yawan School, Markaz-e-Yawan",1528,15,2300,4,2,2,0
1411133,"Qataar Beyd School, Qataar Beyd Payeen",1528,15,2400,4,2,2,0
1411129,Manzil-e-Dasht School,1528,15,1500,3,1,2,0
1411132,"Darang Payeen Mosque, Darang Payeen",1528,15,1500,3,1,2,0
1411131,Roi Raza Mosque,1528,15,1550,3,1,2,0
1411128,Sari School,1528,15,1500,3,1,2,0
1411134,"Zo School, Zo",1528,15,1100,2,1,1,0
1411135,"Pitaw School, Pitaw",1528,15,1600,3,1,2,0
1411130,"Shingan Payan School, Shingan Payan",1528,15,1400,3,1,2,0
1411136,"Aab Zamj Mosque, Aab Zamj",1528,15,1200,2,1,1,0
1501028,Cheen Zaee School,1601,16,2000,6,2,2,2
1501031,Takhta Kaprak Madrasa,1601,16,2400,4,2,2,
1501011,Abu Osman Male High School,1601,16,7100,12,5,7,
1501016,Abdullah bin Massoud University,1601,16,3500,6,3,3,
1501020,Sayed Nasir High School,1601,16,3000,5,2,3,
1501021,Gul Nazar High School,1601,16,3400,6,2,4,
1501002,Khatayan High School,1601,16,2500,5,2,3,
1501001,Lata Band High School,1601,16,2400,4,2,2,
1501027,Joe Saikh School,1601,16,1200,2,1,1,
1501025,Tordan High School,1601,16,2400,4,2,2,
1501012,Mullah Abdul Wadood High School,1601,16,7200,13,6,7,
1501007,Bibi Hajera Female High School,1601,16,2500,5,2,3,
1501029,Madrasa-e Turma Bai,1601,16,2400,4,2,2,
1501003,Al-Farooq School,1601,16,5200,9,4,5,
1501008,Qari Seddiq High School,1601,16,2600,5,2,3,
1501015,Women Affairs Department,1601,16,3500,6,3,3,
1501024,Female High School No 1,1601,16,6000,10,5,5,
1501023, Statistics Dept - changed to Chashma-e Shir,1601,16,2400,4,2,2,
1501185,Abdul Latif Shaheed High School (New),1601,16,1000,2,1,1,
1501186,Baghak Primary School (New),1601,16,800,2,1,1,
1501005,Khawja Khalil School,1601,16,2300,4,2,2,
1501183,Haji Abdul Wadood Mosque (New),1601,16,2000,4,2,2,
1501033,Ochaqduq Primary School,1601,16,1900,4,2,2,
1501022,Aaq Masjid High School,1601,16,4800,8,3,5,
1501004,Eng. Naik Mohammad School,1601,16,2300,4,2,2,
1501017,Bolak Ortabuz Primary School,1601,16,3000,5,2,3,
1501018,Shuba-e Malarya,1601,16,4500,9,4,5,
1501014,Agriculture Dept,1601,16,4500,9,3,6,
1501010,Dr. Sayed Hussain High School,1601,16,5000,9,4,5,
1501013,Bibi Marian High School,1601,16,3600,6,3,3,
1501019,Fayaz High School,1601,16,3600,6,3,3,
1501032,Ganj Ali Big High School,1601,16,3100,6,3,3,
1501006,Sayed Abullah Male High School,1601,16,4700,9,4,5,
1501026,Shorcha School No 1,1601,16,1200,2,1,1,
1501030,Abdul Rahman Taloqani High School,1601,16,1900,4,2,2,
1501009,Sarai Sang High School,1601,16,4300,8,4,4,
1501034,Mosque of Shorcha-e 2,1601,16,900,2,1,1,
1501184,Ahan Dara High School (New),1601,16,1500,3,1,2,
1505061,Char Chenar Primary School,1602,16,2000,4,2,2,
1505062,Etihad High School,1602,16,6000,10,4,6,
1505060,Ezatullah Shaheed School,1602,16,4000,7,3,4,
1505063,Mansoor Shaheed School,1602,16,2400,4,2,2,
1505059,Dahan Bangi School,1602,16,4400,8,4,4,
1506065,Panchiri Primary School,1603,16,2000,4,2,2,
1506069,Qainar Primary School,1603,16,3100,6,2,4,
1506073,Markaz-e Nawabad Mosque,1603,16,1500,3,1,2,
1506070,Bad Guzar Primary School,1603,16,3000,5,2,3,
1506068,Koka Belaq School,1603,16,3400,6,3,3,
1506066,Dahna Shira School,1603,16,2000,4,2,2,
1506064,Tariq Shaheed High School,1603,16,6000,10,4,6,
1506071,Qushlaq-e Sai General Mosque,1603,16,1150,2,1,1,
1506192,Aabraw Primary School (new),1603,16,1000,2,1,1,
1506191,Sia Dara Mosque (new),1603,16,1000,2,1,1,
1506072,Boerak General Mosque,1603,16,1000,2,1,1,
1506067,Tarask Primary School,1603,16,3600,6,3,3,
1506074,Dara Kalan Primary School,1603,16,2000,4,2,2,
1506075,Fakhrak Kochi Markaz Mosque,1603,16,2000,4,1,1,2
1507078,Sang Lashem Mosque,1604,16,1800,4,2,2,
1507193,Sayad General Mosque (new),1604,16,800,2,1,1,
1507076,Mandara Primary School,1604,16,3200,6,3,3,
1507077,Khanaqa Secondary School,1604,16,5000,9,4,5,
1507079,Samadat Secondary School,1604,16,2000,4,2,2,
1507080,Khawja Bena Mosque,1604,16,1000,2,1,1,
1517177,Sardasht Mosque,1605,16,2000,4,2,2,
1517181,Ashrafia High School,1605,16,3500,6,3,3,
1517178,Sayed Zuhruddin Shaheed High School,1605,16,3500,6,3,3,
1517203,Eskawan General Mosque (new),1605,16,1000,2,1,1,
1517182,Piw Primary School,1605,16,1000,2,1,1,
1517180,Pastab Secondary School,1605,16,1000,2,1,1,
1517179,Ensaf Shaheed High School,1605,16,2400,4,2,2,
1517202,Sarwighnan General Mosque (new),1605,16,800,2,1,1,
1517176,Sayed Ekramuddin Shaheed School,1605,16,3700,7,3,4,
1509088,Mashtan School,1606,16,2100,4,2,2,
1509092,Gujrat School,1606,16,600,2,,,2
1509084,Khasdara School,1606,16,2000,4,2,2,
1509093,Mashtan Bridge,1606,16,600,2,,,2
1509087,Lazhda School,1606,16,2400,4,2,2,
1509090,Kurani School,1606,16,1100,2,1,1,
1509085,Qanat Shaheed High School,1606,16,3000,5,2,3,
1509091,Nahraab Madrasa,1606,16,1800,3,1,2,
1509086,Samimi Shaheed High School,1606,16,6500,11,5,6,
1509089,Sar-e Tal Khanaqa School,1606,16,2100,4,2,2,
1510098,Aqblaq Secondary School,1607,16,2400,4,2,2,
1510094,Nawan School,1607,16,1900,4,2,2,
1510100,Zardalo Dara Secondary School,1607,16,3100,6,3,3,
1510097,Kalafgan Female High School,1607,16,3000,5,2,3,
1510099,Gazestan Primary School,1607,16,2000,4,2,2,
1510195,Qoruq Sai Primary School (new),1607,16,1000,2,1,1,
1510095,Chartoot Primary School,1607,16,2500,5,2,3,
1510096,Abul Hassan Kherqani High School,1607,16,3000,5,2,3,
1511125,Hazrat Belal Primary School,1608,16,1500,3,1,2,
1511124,Lala Maidan Primary School,1608,16,2400,4,2,2,
1511131,Qara Ding Primary School,1608,16,1000,2,1,1,
1511103,Rustaq Primary School,1608,16,5400,9,4,5,
1511104,Rustaq Female High School,1608,16,5000,9,4,5,
1511197,Aab Bazan General Mosque (new),1608,16,1000,2,1,1,
1511121,Gorgan Secondary School,1608,16,2100,4,2,2,
1511119,Dasht-e Mirzaee Mosque,1608,16,1800,3,1,2,
1511115,Sarghar Primary School,1608,16,2000,4,2,2,
1511109,Kywan Primary School,1608,16,3000,5,2,3,
1511130,Batash Primary School,1608,16,2000,4,2,2,
1511112,Sar-e Rustaq High School,1608,16,4500,8,4,4,
1511126,Shingar Aab Mosque,1608,16,1100,2,1,1,
1511106,Hazrat Ayubi School,1608,16,3000,5,2,3,
1511120,Gunda Primary School,1608,16,2000,4,2,2,
1511102,Shahre Kohna Primary School,1608,16,3500,6,3,3,
1511114,Hazar Smoch Primary Schoolo,1608,16,3700,7,3,4,
1511101,Hazart Omar Farooq High School,1608,16,5400,9,4,5,
1511113,Mawlana Jalaluddin School (Aab Asyaba),1608,16,2400,4,2,2,
1511128,Dashtak Primary School,1608,16,2000,4,2,2,
1511107,Langar Sadaat Mosque,1608,16,1000,2,1,1,
1511117,Qarya Chenar Mosque,1608,16,1000,2,1,1,
1511196,Zan Payan General Mosque (new),1608,16,1000,2,1,1,
1511123,Qoduq Mosque,1608,16,2000,4,2,2,
1511110,Shira Tala Primary School,1608,16,1800,4,2,2,
1511129,Hazrat Osman Primary School,1608,16,3500,6,3,3,
1511118,Qarya Naristan Mosque,1608,16,1000,2,1,1,
1511108,Sayadabad Mosque,1608,16,2200,4,2,2,
1511111,Yamchi Primary School,1608,16,2000,4,2,2,
1511127,Mawlavi Abdul Qudus Primary School,1608,16,2000,4,2,2,
1511116,Qoduq Jawazkhaan Mosque,1608,16,3000,5,2,3,
1511105,Tolaki Primary School,1608,16,4000,7,3,4,
1511122,Kishan Primary School,1608,16,1000,2,1,1,
1512140,Warankha Primary School,1609,16,3000,5,2,3,
1512198,Guzar Safkan Primary School (new),1609,16,1000,2,1,1,
1512138,Khasar Primary School,1609,16,2000,4,2,2,
1512142,Anjeer Primary School,1609,16,2000,4,2,2,
1512137,Samti Sencondary School,1609,16,2000,4,2,2,
1512133,Chah Aab High School,1609,16,5500,10,5,5,
1512135,Khailan Secondary School,1609,16,3000,5,2,3,
1512144,Rabat Hamiduddin Mosque,1609,16,1200,2,1,1,
1512139,Hodi Primary School,1609,16,2000,4,2,2,
1512132,Eidgah Madrassa,1609,16,5500,10,5,5,
1512141,Shah Dara Primary School,1609,16,2000,4,2,2,
1512143,Gazan Primary School,1609,16,1000,2,1,1,
1512145,Anjeer Central Mosque,1609,16,1200,2,1,1,
1512134,Chah Aab Primary School,1609,16,5500,10,5,5,
1512136,Arg Shah Secondary School,1609,16,2000,4,2,2,
1513147,Alam Jar Mosque,1610,16,2800,5,2,3,
1513150,Omar Khail Central Mosque,1610,16,2000,4,2,2,
1513149,Yangi Qala High School,1610,16,5500,10,5,5,
1513152,Maghan Secondary School,1610,16,1200,2,1,1,
1513153,Jarbashi School,1610,16,2000,4,2,2,
1513151,Rahimabad Mosque,1610,16,3100,6,3,3,
1513148,Jelga Secondary School,1610,16,2000,4,2,2,
1513146,Kaftar Ali Secondary School,1610,16,5000,9,4,5,
1513154,Eshanabad Primary School,1610,16,1000,2,1,1,
1515166,Qulabad Secondary School,1611,16,1800,4,2,2,
1515167,Al-Qenaq Mosque,1611,16,1000,2,1,1,
1515163,Qughli Primary School,1611,16,2500,5,2,3,
1515161,Darqad High School,1611,16,5000,9,4,5,
1515168,Kultoot Mosque,1611,16,1400,4,1,1,2
1515162,Qara Tepa village,1611,16,3200,6,3,3,
1515164,Musa Zai Primary School,1611,16,2400,6,2,2,2
1515165,Lala Maidan Mosque,1611,16,1800,4,2,2,
1504054,Jalomkhor Primary School,1612,16,1200,2,1,1,
1504052,Subhani Primary School,1612,16,2000,4,2,2,
1504056,Chabaq School,1612,16,2000,4,2,2,
1504051,Qoruq Primary School,1612,16,4300,8,3,5,
1504058,Saf Qarooq School,1612,16,800,2,,,2
1504190,Hasamuddin Shaheed High School (new),1612,16,2500,5,2,3,
1504053,Ghulam Sakhi Shaheed High School,1612,16,2000,4,2,2,
1504050,Aqila Mamaee High School,1612,16,1900,4,2,2,
1504055,Hamwar Sai School,1612,16,1900,4,2,2,
1504047,Male High School,1612,16,4300,8,3,5,
1504049,Lakalkan Primary School,1612,16,700,2,1,1,
1504048,Jokdu Promary School,1612,16,1900,4,2,2,
1504046,Khawja Ghar Female High School,1612,16,3500,6,3,3,
1504057,Shahrawan (Abdul Shakoor garden),1612,16,1200,2,1,1,
1503188,Quzel Sai School (New),1613,16,1000,2,1,1,
1503045,Shorqaduq Primary School,1613,16,1000,2,1,1,
1503042,Ghulam Sarwar Shaheed Primary School,1613,16,4000,7,3,4,
1503041,Hazrat Omar Beginning High School,1613,16,4300,8,3,5,
1503044,Ah-haq Abdul Qayoom School,1613,16,4300,8,4,4,
1503043,Haji Pahlawan School,1613,16,2000,4,2,2,
1503040,Chaila Primary School,1613,16,4300,8,4,4,
1503189,"Raketi General Mosque, change to General Mosque of Haji Ghafar (new)",1613,16,2000,4,2,2,
1516169,City Boys School,1614,16,6500,11,5,6,
1516175,Layeeqa Primary School,1614,16,1100,4,1,1,2
1516173,Serugh Primary School,1614,16,2000,4,2,2,
1516200,Bagh-e Bayan Mosque (new),1614,16,1000,2,1,1,
1516172,Ghaz Tepa Mosque,1614,16,4000,7,3,4,
1516170,Female High School,1614,16,4500,8,4,4,
1516201,Arab Kakol Mosque (new),1614,16,1000,2,1,1,
1516171,Bagh-e Bayan High School,1614,16,2000,4,2,2,
1516174,Nawabad Primary School,1614,16,2000,4,2,2,
1502038,Khawja Lamtu Mosque,1615,16,700,2,1,1,
1502036,Archa Primary School,1615,16,1500,3,1,2,
1502039,Qala-e Mamaee School,1615,16,700,2,1,1,
1502035,Hazar Smoch Secondary School,1615,16,2000,4,2,2,
1502037,Aaq Masjid School,1615,16,700,2,1,1,
1502187,Shololok General Mosque,1615,16,700,2,1,1,
1514156,Imam Abu Hanifa High School,1616,16,3500,6,3,3,
1514160,Shortoghi Mosque,1616,16,2000,4,2,2,
1514199,Oruq Qeshalaq Primary School (new),1616,16,1100,2,1,1,
1514159,Lala Guzar Mosque,1616,16,2000,4,2,2,
1514155,Hazrat Khalid General Mosque,1616,16,4400,8,4,4,
1514157,Katakjar Primary School,1616,16,2400,4,2,2,
1514158,Abdul Shakoor Shaheed Primary School,1616,16,2100,4,2,2,
1508081,Bagh-e Qazi Primary School,1617,16,2000,4,2,2,
1508194,Nakhjeer Dara School (new),1617,16,1000,2,1,1,
1508082,Sadbaragan Mosque,1617,16,1500,3,1,2,
1508083,Baikh Kotal,1617,16,3000,5,2,3,
1701039,"Gharma Kamar, Gul Tepa",1701,17,1200,2,1,1,
1701032,"Kobahi Ulya, Kobahi Ulya/co-located at Hazrat Sultan",1701,17,2400,4,2,2,
1701035,"Wakil Qara, Gul Tepa",1701,17,2400,4,2,2,
1701031,"Taloka, Taloka",1701,17,3000,5,2,3,
1701023,"Asqalan School, Asqalan",1701,17,3000,5,2,3,
1701027,"Hazrat Sultan, Hazrat Sultan",1701,17,5400,9,4,5,
1701002,"Animal Clinic, Sarak Char Dara",1701,17,1200,2,1,1,
1701015,"Municipality Department, Province Port",1701,17,2400,4,2,2,
1701050,"Besh Bala Large Mosque, Asqalan/co-located at Asqalan School",1701,17,3000,5,2,3,
1701013,"Turkmanha Secondary School, Gul Tepa Street",1701,17,3600,6,3,3,
1701005,"Speen Zar Factory, Factory Port",1701,17,2400,4,2,2,
1701011,"Legal Department, Province Port",1701,17,1800,3,1,2,
1701007,"Sherkhan High School, Province Port",1701,17,7200,12,4,8,
1701044,"Khazani, Khazani",1701,17,1800,3,1,2,
1701010,"Hazrat Ali High School, Kabul Port",1701,17,3600,7,3,4,
1701017,"Mawlawi Sarajuddin High School, Khan Abad Port",1701,17,6000,10,4,6,
1701054,"Zar Kharid Zakhel, Gul Tepa Street",1701,17,1200,2,1,1,
1701003,"Ghazi Khan High School, Sar Dawra",1701,17,3000,6,2,4,
1701046,"Factory Garden, Gul Tepa Street/co-located with Zarkharid Utmanizaiee",1701,17,2400,4,2,2,
1701043,"Qazzaq Large Mosque, Angor Bagh",1701,17,2400,4,2,2,
1701051,"Abdullah Shaheed Secondary School, Asqalan/ co-located by Asqalan School",1701,17,1800,3,1,2,
1701042,"Shinwari Religious School, gul Tepa",1701,17,1800,3,1,2,
1701199,"Tapa Ali, Tapa Ali village/co-located by Asqalan School",1701,17,1400,3,1,2,
1701019,"Refugees & Returnees Department, Ahan Gari Street",1701,17,1800,3,1,2,
1701028,"Quji Kalan, Quji Kalan",1701,17,2400,4,2,2,
