distId,provId,solar_year,gregorian_year,province_name_eng,district_number,district_name_eng,rural_fem,rural_male,rural_total,urban_fem,urban_male,urban_total,fem_population,male_population,total_population,units
1724,17,1398,2019-2020,Badakhshan,24,Shiki,14485,14763,29248,,,,14485,14763,29248,exact
1725,17,1398,2019-2020,Badakhshan,25,Zebak,4176,4573,8749,,,,4176,4573,8749,exact
1726,17,1398,2019-2020,Badakhshan,26,Kiran Wa Menjan,5220,5357,10577,,,,5220,5357,10577,exact
1727,17,1398,2019-2020,Badakhshan,27,Darwaz-e- Bala ( Nesay),12789,12933,25722,,,,12789,12933,25722,exact
1728,17,1398,2019-2020,Badakhshan,28,Wakhan,8091,8492,16583,,,,8091,8492,16583,exact
1801,18,1398,2019-2020,Takhar,1,province Center (Taluqan),83910,87922,171832,41344,40559,81903,125254,128481,253735,exact
1802,18,1398,2019-2020,Takhar,2,Hazar Sumuch,7438,7838,15276,,,,7438,7838,15276,exact
1803,18,1398,2019-2020,Takhar,3,Baharak,16834,17505,34339,,,,16834,17505,34339,exact
1804,18,1398,2019-2020,Takhar,4,Bangi,19314,19728,39042,,,,19314,19728,39042,exact
1805,18,1398,2019-2020,Takhar,5,Chal,15137,16200,31337,,,,15137,16200,31337,exact
1806,18,1398,2019-2020,Takhar,6,Namak Ab,6655,6924,13579,,,,6655,6924,13579,exact
1807,18,1398,2019-2020,Takhar,7,Kalafgan,19444,19727,39171,,,,19444,19727,39171,exact
1808,18,1398,2019-2020,Takhar,8,Farkhar,24011,25083,49094,1610,1413,3023,25621,26496,52117,exact
1809,18,1398,2019-2020,Takhar,9,Khwaja Ghar,32755,34097,66852,3960,3957,7917,36715,38054,74769,exact
1810,18,1398,2019-2020,Takhar,10,Rustaq,81951,86354,168305,7189,7349,14538,89140,93703,182843,exact
1811,18,1398,2019-2020,Takhar,11,Eshkamesh,32364,33183,65547,,,,32364,33183,65547,exact
1812,18,1398,2019-2020,Takhar,12,Dashti Qala,17487,18028,35515,,,,17487,18028,35515,exact
1813,18,1398,2019-2020,Takhar,13,Warsaj,20488,21687,42175,,,,20488,21687,42175,exact
1814,18,1398,2019-2020,Takhar,14,Khwaja Bahawuddin,12919,12933,25852,,,,12919,12933,25852,exact
1815,18,1398,2019-2020,Takhar,15,Darqad,14354,15547,29901,,,,14354,15547,29901,exact
1816,18,1398,2019-2020,Takhar,16,Chahab,30014,31354,61368,13350,13567,26917,43364,44921,88285,exact
1817,18,1398,2019-2020,Takhar,17,Yangi Qala,19182,19857,39039,5285,5512,10797,24467,25369,49836,exact
1901,19,1398,2019-2020,Kunduz,1,provincial Capital (Kunduz),85330,87864,173194,90788,92554,183342,176118,180418,356536,exact
