data_id,provId,province,distId,district,location,latitude,longitude,fatalities
4613379,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,0
4613366,3,Parwan,0303,Shinwari,Shinwari,35.0397,69.0069,1
4616499,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,3
4616764,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,1
4618392,3,Parwan,0310,Shekh Ali,Shekh Ali,34.9474,68.5123,0
4621044,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,4
4622811,3,Parwan,0308,Kohi Safi,Kohi Safi,34.7602,69.4686,1
4626338,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,0
4626764,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,5
4627322,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,5
4634956,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,1
4638516,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,0
4646698,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,0
4647286,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,0
4654331,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,0
4655017,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,0
4659817,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,5
4663832,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,5
4664183,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,5
4667295,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,0
4673337,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,0
4673910,3,Parwan,0305,Jabal Saraj,Jabal Saraj,35.1183,69.2378,1
4576623,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,25
4576626,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,11
4576881,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,15
4582030,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,8
4583683,4,Wardak,0404,Chaki Wardak,Chaki Wardak,34.1061,68.5794,1
4584279,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,6
4584603,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,8
4584903,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,10
4584906,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,11
4586933,4,Wardak,0408,Jaghatu,Jaghatu,33.9335,68.3913,2
4587925,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,2
4588160,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,5
4589072,4,Wardak,0403,Jalrez,Jalrez,34.4708,68.6544,2
4589210,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,5
4589482,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,4
4590617,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,5
4590899,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,17
4591437,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,5
4593127,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,7
4594539,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,7
4596321,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,0
4598553,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,20
4598744,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,21
4598548,4,Wardak,0404,Chaki Wardak,Chaki Wardak,34.1061,68.5794,5
4598550,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,5
4599290,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,21
4599379,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,7
4599981,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,35
4601841,4,Wardak,0408,Jaghatu,Jaghatu,33.9335,68.3913,2
4603536,4,Wardak,0408,Jaghatu,Jaghatu,33.9335,68.3913,42
4603365,4,Wardak,0408,Jaghatu,Jaghatu,33.9335,68.3913,12
4603949,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,4
4604200,4,Wardak,0403,Jalrez,Jalrez,34.4708,68.6544,30
4604206,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,9
4604759,4,Wardak,0404,Chaki Wardak,Chaki Wardak,34.1061,68.5794,6
4604776,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,24
4605031,4,Wardak,0403,Jalrez,Jalrez,34.4708,68.6544,30
4605282,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,9
4606197,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,2
4606738,4,Wardak,0406,Day Mirdad,Daymirdad,34.2187,68.3054,62
4606739,4,Wardak,0406,Day Mirdad,Daymirdad,34.2187,68.3054,4
4606741,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,3
4607296,4,Wardak,0406,Day Mirdad,Daymirdad,34.2187,68.3054,42
4607545,4,Wardak,0406,Day Mirdad,Daymirdad,34.2187,68.3054,52
4607870,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,4
4609431,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,11
4609642,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,3
4611305,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,3
4611739,4,Wardak,0403,Jalrez,Jalrez,34.4708,68.6544,9
4611889,4,Wardak,0403,Jalrez,Jalrez,34.4708,68.6544,3
4613044,4,Wardak,0405,Saydabad,Salar,33.9048,68.674,1
4614056,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,3
4614058,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,3
4614599,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,0
4614603,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,1
4614581,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,12
4614876,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,6
4614861,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,10
4615163,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,7
4617617,4,Wardak,0405,Saydabad,Patang Chinah,33.8915,68.661,5
4619616,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,0
4619888,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,0
4619893,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,9
4620148,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,0
4620216,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,0
4620686,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,16
4621308,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,4
